name,link_id,from_node_id,to_node_id,link_type_name,direction,length_in_mile,number_of_lanes,speed_limit_in_mph,saturation_flow_rate_in_vhc_per_hour_per_lane,lane_capacity_in_vhc_per_hour,link_type,jam_density_in_vhc_pmpl,wave_speed_in_mph,effective_green_time_length_in_second,green_start_time_in_second,AADT_conversion_factor,mode_code,grade,geometry,KML_green_height,KML_red_height,KML_blue_height,KML_yellow_leightnumber_of_left_turn_bays,length_of_bays_in_feet,left_turn_capacity_in_veh_per_hour,from_approach,to_approach,reversed_link_id,h0_link_volume,h1_link_volume,h2_link_volume,h3_link_volume,h4_link_volume,h5_link_volume,h6_link_volume,h7_link_volume,h8_link_volume,h9_link_volume,h10_link_volume,h11_link_volume,h12_link_volume,h13_link_volume,h14_link_volume,h15_link_volume,h16_link_volume,h17_link_volume,h18_link_volume,h19_link_volume,h20_link_volume,h21_link_volume,h22_link_volume,h23_link_volume,h0_speed,h1_speed,h2_speed,h3_speed,h4_speed,h5_speed,h6_speed,h7_speed,h8_speed,h9_speed,h10_speed,h11_speed,h12_speed,h13_speed,h14_speed,h15_speed,h16_speed,h17_speed,h18_speed,h19_speed,h20_speed,h21_speed,h22_speed,h23_speed,h0_travel_time,h1_travel_time,h2_travel_time,h3_travel_time,h4_travel_time,h5_travel_time,h6_travel_time,h7_travel_time,h8_travel_time,h9_travel_time,h10_travel_time,h11_travel_time,h12_travel_time,h13_travel_time,h14_travel_time,h15_travel_time,h16_travel_time,h17_travel_time,h18_travel_time,h19_travel_time,h20_travel_time,h21_travel_time,h22_travel_time,h23_travel_time
Cent,1320,1320,5820,Zonal connector,1,0.345,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.934117,40.599940,0.0 -111.929231,40.603269,0.0</coordinates></LineString>",0,0,0,0,0,0,0,0,0,58200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,18,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.85,19.93,19.96,20,20,20,20,10,0,1.07,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,2.07,20.7
Cent,10,1320,11148,Zonal connector,1,0.253,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.934165,40.600054,0.0 -111.938806,40.599100,0.0</coordinates></LineString>",0,0,0,0,0,0,0,W,E,1710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,122,79,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.56,19.02,18.67,20,20,20,20,10,0,0.79,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.78,0.8,0.81,0.76,0.76,0.76,0.76,1.52,15.18
Cent,1322,1322,5589,Zonal connector,1,0.223,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.934412,40.591000,0.0 -111.934126,40.587776,0.0</coordinates></LineString>",0,0,0,0,0,0,0,S,N,55890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,94,35,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.74,19.47,19.82,20,20,20,20,10,0,0.69,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.68,0.69,0.67,0.67,0.67,0.67,0.67,1.34,13.38
Cent,11,1322,11161,Zonal connector,1,0.267,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.934348,40.590943,0.0 -111.929272,40.590984,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,111610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,19,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.85,19.87,19.94,20,20,20,20,10,0,0.83,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.81,0.81,0.8,0.8,0.8,0.8,0.8,1.6,16.02
Cent,1323,1323,5592,Zonal connector,1,0.27,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.921480,40.591621,0.0 -111.922237,40.587754,0.0</coordinates></LineString>",0,0,0,0,0,0,0,S,N,55920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,194,114,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.99,19.98,19.96,20,20,20,20,10,0,0.84,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.62,16.2
Cent,1325,1325,10853,Zonal connector,1,0.158,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.907450,40.592281,0.0 -111.904441,40.592322,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,108530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,76,36,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.97,19.75,19.76,20,20,20,20,10,0,0.49,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.48,0.48,0.47,0.47,0.47,0.47,0.95,9.48
Cent,1346,1346,11172,Zonal connector,1,0.252,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.943604,40.584029,0.0 -111.938817,40.584108,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,111720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,207,121,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18.76,16.56,17.97,20,20,20,20,10,0,0.78,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.81,0.91,0.84,0.76,0.76,0.76,0.76,1.51,15.12
Cent,1348,1348,5210,Zonal connector,1,0.253,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.943542,40.576921,0.0 -111.938741,40.576898,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,52100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,236,123,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.03,17.5,18.95,20,20,20,20,10,0,0.79,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.8,0.87,0.8,0.76,0.76,0.76,0.76,1.52,15.18
Cent,1349,1349,5210,Zonal connector,1,0.231,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.934351,40.576933,0.0 -111.938739,40.577024,0.0</coordinates></LineString>",0,0,0,0,0,0,0,W,E,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,139,68,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.71,18.86,19.16,20,20,20,20,10,0,0.72,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.69,0.7,0.73,0.72,0.69,0.69,0.69,0.69,1.39,13.86
Cent,12,1349,5219,Zonal connector,1,0.273,7,20,2000,2000,10,120,12,0,0,0.1,,0,"<LineString><coordinates>-111.934354,40.576807,0.0 -111.929173,40.576677,0.0</coordinates></LineString>",0,0,0,0,0,0,0,E,W,52190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,22,0,0,0,0,0,0,19.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,19.97,19.89,19.98,20,20,20,20,10,0,0.85,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,1.64,16.38
