vehicle No.,Time,state
1,17,n1_1[2]
1,17,n4_1[2]
1,17,n1_1[1]_2[2]_3[1]
1,17,n4_1[1]_2[2]_3[1]
1,17,n1_1[2]_2[1]_3[1]
1,17,n4_1[2]_2[1]_3[1]
1,17,n1_1[2]_3[1]
1,17,n4_1[2]_3[1]
1,17,n1_1[2]_2[1]
1,17,n4_1[2]_2[1]
1,17,n3_1[1]_2[2]
1,17,n3_1[2]_2[1]
1,17,n3_1[2]
1,17,n3_2[2]_3[1]
1,17,n3_1[1]_2[2]_3[1]
1,17,n3_1[2]_2[1]_3[1]
1,17,n3_1[2]_3[1]
1,17,n10_1[1]_2[2]
1,17,n4_3[1]
1,17,n3_3[1]
1,17,n5_3[1]
1,17,n4_2[1]
1,17,n2_2[1]
1,17,n3_2[1]
1,17,n4_2[1]_3[1]
1,17,n1_2[1]
1,17,n3_2[1]_3[1]
1,17,n3_1[1]_3[1]
1,17,n4_1[1]_3[1]
1,17,n5_2[1]
1,17,n5_1[1]_3[1]
1,17,n5_2[1]_3[1]
1,17,n1_2[1]_3[1]
1,17,n3_1[1]_2[1]_3[1]
1,17,n3_1[1]
1,17,n2_1[1]
1,17,n3
1,17,n2
1,17,n4
1,17,n1
1,17,n1_1[1]
1,17,n4_1[1]
1,17,n1_1[1]_2[1]
1,17,n4_1[1]_2[1]
1,17,n2_1[1]_2[1]
1,17,n3_1[1]_2[1]
1,17,n2_3[1]
1,17,n1_3[1]
1,17,n2_1[1]_3[1]
1,17,n4_1[1]_2[1]_3[1]
1,17,n1_1[1]_3[1]
1,17,n1_1[1]_2[1]_3[1]
1,17,n2_2[1]_3[1]
1,17,n5
1,17,n2_1[1]_2[1]_3[1]
1,17,n6_1[1]_3[1]
1,17,n5_1[1]
1,17,n6_2[1]_3[1]
1,17,n6_1[1]_2[1]_3[1]
1,17,n6
1,17,n6_1[1]
1,17,n6_2[1]
1,17,n6_1[1]_2[1]
1,17,n6_3[1]
1,18,n1_1[2]_2[2]
1,18,n4_1[2]_2[2]
1,18,n10_1[2]_2[2]_3[1]
1,18,n10_1[2]_2[2]
1,18,n5_2[2]
1,18,n5_2[2]_3[1]
1,18,n1_2[2]
1,18,n4_2[2]
1,18,n1_2[2]_3[1]
1,18,n4_2[2]_3[1]
1,18,n3_2[2]
1,18,n3_2[2]_3[1]
1,18,n10_2[2]
1,18,n10_2[2]_3[1]
1,18,n2_1[2]
1,18,n3_1[2]
1,18,n6_1[2]
1,18,n5_1[1]_2[2]
1,18,n2_1[2]_2[1]
1,18,n3_1[2]_2[1]
1,18,n2_1[2]_3[1]
1,18,n3_1[2]_3[1]
1,18,n1_1[2]_3[1]
1,18,n4_1[2]_3[1]
1,18,n6_1[2]_3[1]
1,18,n6_1[2]_2[1]
1,18,n5_1[2]
1,18,n5_1[1]_2[2]_3[1]
1,18,n5_1[2]_2[1]_3[1]
1,18,n5_1[2]_3[1]
1,18,n5_1[2]_2[1]
1,18,n3_1[1]_2[2]
1,18,n1_1[2]
1,18,n4_1[2]
1,18,n10_1[1]_2[2]_3[1]
1,18,n10_1[1]_2[2]
1,18,n6_3[1]
1,18,n3_3[1]
1,18,n2_3[1]
1,18,n4_3[1]
1,18,n1_3[1]
1,18,n2_2[1]
1,18,n3_2[1]
1,18,n1_2[1]
1,18,n4_2[1]
1,18,n1_1[1]_3[1]
1,18,n4_1[1]_3[1]
1,18,n1_2[1]_3[1]
1,18,n4_2[1]_3[1]
1,18,n5_2[1]
1,18,n2_2[1]_3[1]
1,18,n3_2[1]_3[1]
1,18,n6_2[1]
1,18,n6_1[1]_3[1]
1,18,n6_2[1]_3[1]
1,18,n3_1[1]_3[1]
1,18,n2_1[1]_3[1]
1,18,n2_1[1]
1,18,n4
1,18,n1
1,18,n4_1[1]
1,18,n1_1[1]
1,18,n1_1[1]_2[1]
1,18,n3
1,18,n2
1,18,n4_1[1]_2[1]
1,18,n2_1[1]_2[1]
1,18,n5_2[1]_3[1]
1,18,n3_1[1]_2[1]
1,18,n5_1[1]
1,18,n5
1,18,n5_1[1]_2[1]
1,18,n3_1[1]
1,18,n5_3[1]
1,18,n5_1[1]_3[1]
1,18,n5_1[1]_2[1]_3[1]
1,18,n6
1,18,n6_1[1]
1,18,n3_1[1]_2[1]_3[1]
1,18,n4_1[1]_2[1]_3[1]
1,19,n12_1[2]_3[2]
1,19,n12_2[2]_3[2]
1,19,n1_1[2]_2[2]
1,19,n4_1[2]_2[2]
1,19,n5_1[2]_2[2]
1,19,n12_1[1]_2[2]_3[2]
1,19,n12_1[2]_2[1]_3[2]
1,19,n1_1[2]_2[2]_3[1]
1,19,n4_1[2]_2[2]_3[1]
1,19,n3_1[2]_2[2]
1,19,n3_1[2]_2[2]_3[1]
1,19,n12_3[2]
1,19,n12_1[1]_3[2]
1,19,n2_2[2]
1,19,n3_2[2]
1,19,n6_2[2]
1,19,n2_2[2]_3[1]
1,19,n3_2[2]_3[1]
1,19,n6_2[2]_3[1]
1,19,n1_2[2]
1,19,n4_2[2]
1,19,n5_2[2]_3[1]
1,19,n5_2[2]
1,19,n12_2[1]_3[2]
1,19,n12_1[1]_2[1]_3[2]
1,19,n3_1[2]
1,19,n4_1[2]
1,19,n5_1[2]
1,19,n2_1[1]_2[2]
1,19,n3_1[1]_2[2]
1,19,n6_1[1]_2[2]
1,19,n3_1[2]_2[1]
1,19,n4_1[2]_3[1]
1,19,n4_1[2]_2[1]
1,19,n5_1[2]_3[1]
1,19,n5_1[2]_2[1]
1,19,n3_1[2]_3[1]
1,19,n2_1[2]
1,19,n2_1[1]_2[2]_3[1]
1,19,n1_1[2]
1,19,n4_1[1]_2[2]
1,19,n1_2[2]_3[1]
1,19,n4_2[2]_3[1]
1,19,n1_1[1]_2[2]_3[1]
1,19,n4_1[1]_2[2]_3[1]
1,19,n1_1[2]_2[1]_3[1]
1,19,n4_1[2]_2[1]_3[1]
1,19,n1_1[2]_3[1]
1,19,n1_1[1]_2[2]
1,19,n2_1[2]_2[1]
1,19,n2_1[2]_3[1]
1,19,n3_1[2]_2[1]_3[1]
1,19,n2_1[2]_2[1]_3[1]
1,19,n3_1[1]_2[2]_3[1]
1,19,n1_1[2]_2[1]
1,19,n6_1[2]
1,19,n6_1[1]_2[2]_3[1]
1,19,n6_1[2]_2[1]_3[1]
1,19,n6_1[2]_3[1]
1,19,n6_1[2]_2[1]
1,19,n4_3[1]
1,19,n3_3[1]
1,19,n2_3[1]
1,19,n1_3[1]
1,19,n5_3[1]
1,19,n3_2[1]_3[1]
1,19,n1_2[1]_3[1]
1,19,n4_2[1]_3[1]
1,19,n1_1[1]_3[1]
1,19,n4_1[1]_3[1]
1,19,n2_1[1]_3[1]
1,19,n3_1[1]_3[1]
1,19,n2_2[1]
1,19,n3_2[1]
1,19,n1_2[1]
1,19,n4_2[1]
1,19,n2_2[1]_3[1]
1,19,n5_2[1]
1,19,n5_1[1]_3[1]
1,19,n5_2[1]_3[1]
1,19,n6_2[1]
1,19,n4
1,19,n2
1,19,n3
1,19,n2_1[1]
1,19,n3_1[1]
1,19,n2_1[1]_2[1]
1,19,n3_1[1]_2[1]
1,19,n1_1[1]_2[1]
1,19,n4_1[1]_2[1]
1,19,n2_1[1]_2[1]_3[1]
1,19,n3_1[1]_2[1]_3[1]
1,19,n1_1[1]_2[1]_3[1]
1,19,n4_1[1]_2[1]_3[1]
1,19,n1_1[1]
1,19,n4_1[1]
1,19,n1
1,19,n5_1[1]
1,19,n5
1,19,n5_1[1]_2[1]
1,19,n6_2[1]_3[1]
1,19,n6_1[1]
1,19,n6
1,19,n6_1[1]_2[1]
1,19,n6_3[1]
1,19,n6_1[1]_3[1]
1,19,n6_1[1]_2[1]_3[1]
1,20,n12_1[2]_2[2]_3[2]
1,20,n1_1[2]_3[2]
1,20,n1_2[2]_3[2]
1,20,n5_1[2]_2[2]
1,20,n2_1[2]_2[2]
1,20,n3_1[2]_2[2]
1,20,n1_1[2]_2[1]_3[2]
1,20,n1_1[1]_2[2]_3[2]
1,20,n6_1[2]_2[2]
1,20,n5_1[2]_2[2]_3[1]
1,20,n12_1[2]_3[2]
1,20,n12_1[2]_2[1]_3[2]
1,20,n12_1[1]_2[2]_3[2]
1,20,n12_2[2]_3[2]
1,20,n1_3[2]
1,20,n1_1[1]_3[2]
1,20,n12_3[2]
1,20,n3_2[2]
1,20,n4_2[2]
1,20,n5_2[2]
1,20,n12_1[1]_3[2]
1,20,n3_2[2]_3[1]
1,20,n4_2[2]_3[1]
1,20,n5_2[2]_3[1]
1,20,n2_2[2]
1,20,n2_2[2]_3[1]
1,20,n1_2[2]
1,20,n1_2[2]_3[1]
1,20,n6_2[2]_3[1]
1,20,n6_2[2]
1,20,n1_2[1]_3[2]
1,20,n6_1[2]
1,20,n1_1[2]
1,20,n4_1[2]
1,20,n1_1[1]_2[1]_3[2]
1,20,n3_1[1]_2[2]
1,20,n5_1[1]_2[2]
1,20,n4_1[1]_2[2]
1,20,n12_2[1]_3[2]
1,20,n1_1[2]_2[1]
1,20,n1_1[2]_3[1]
1,20,n4_1[2]_3[1]
1,20,n2_1[2]_3[1]
1,20,n3_1[2]_3[1]
1,20,n6_1[2]_2[1]
1,20,n4_1[2]_2[1]
1,20,n6_1[2]_3[1]
1,20,n1_1[1]_2[2]
1,20,n2_1[2]
1,20,n3_1[2]
1,20,n3_1[2]_2[1]_3[1]
1,20,n4_1[1]_2[2]_3[1]
1,20,n5_1[2]_2[1]
1,20,n3_1[1]_2[2]_3[1]
1,20,n5_1[2]
1,20,n5_1[1]_2[2]_3[1]
1,20,n5_1[2]_3[1]
1,20,n5_1[2]_2[1]_3[1]
1,20,n12_1[1]_2[1]_3[2]
1,20,n3_1[2]_2[1]
1,20,n4_1[2]_2[1]_3[1]
1,20,n1_3[1]
1,20,n4_3[1]
1,20,n2_3[1]
1,20,n3_3[1]
1,20,n6_3[1]
1,20,n5_3[1]
1,20,n1_2[1]
1,20,n4_2[1]
1,20,n2_2[1]
1,20,n3_2[1]
1,20,n5_2[1]
1,20,n6_2[1]
1,20,n6_1[1]_3[1]
1,20,n6_2[1]_3[1]
1,20,n4_1[1]_3[1]
1,20,n1_1[1]_3[1]
1,20,n4_2[1]_3[1]
1,20,n1_2[1]_3[1]
1,20,n3_2[1]_3[1]
1,20,n2_2[1]_3[1]
1,20,n3_1[1]_3[1]
1,20,n5_2[1]_3[1]
1,20,n2_1[1]_3[1]
1,20,n5_1[1]_3[1]
1,20,n4_1[1]_2[1]_3[1]
1,20,n1_1[1]_2[1]_3[1]
1,20,n4_1[1]_2[1]
1,20,n1_1[1]_2[1]
1,20,n4
1,20,n3_1[1]_2[1]_3[1]
1,20,n3_1[1]_2[1]
1,20,n2_1[1]_2[1]_3[1]
1,20,n4_1[1]
1,20,n1_1[1]
1,20,n2
1,20,n3
1,20,n2_1[1]
1,20,n3_1[1]
1,20,n2_1[1]_2[1]
1,20,n5
1,20,n5_1[1]
1,20,n5_1[1]_2[1]
1,20,n5_1[1]_2[1]_3[1]
1,20,n1
1,20,n6_1[1]
1,20,n6
1,20,n6_1[1]_2[1]
1,21,n1_1[2]_2[2]_3[2]
1,21,n5_1[2]_3[2]
1,21,n5_2[2]_3[2]
1,21,n12_1[2]_3[2]
1,21,n12_2[2]_3[2]
1,21,n2_1[2]_2[2]
1,21,n3_1[2]_2[2]
1,21,n6_1[2]_2[2]
1,21,n4_1[2]_2[2]
1,21,n5_1[2]_2[1]_3[2]
1,21,n5_1[2]_2[2]
1,21,n5_1[1]_2[2]_3[2]
1,21,n2_1[2]_2[2]_3[1]
1,21,n3_1[2]_2[2]_3[1]
1,21,n1_1[2]_2[2]
1,21,n1_1[2]_2[2]_3[1]
1,21,n4_1[2]_2[2]_3[1]
1,21,n1_2[2]_3[2]
1,21,n6_1[2]_2[2]_3[1]
1,21,n1_1[2]_3[2]
1,21,n1_1[2]_2[1]_3[2]
1,21,n1_1[1]_2[2]_3[2]
1,21,n5_3[2]
1,21,n5_1[1]_3[2]
1,21,n1_3[2]
1,21,n12_3[2]
1,21,n1_2[2]
1,21,n4_2[2]
1,21,n6_2[2]
1,21,n1_1[1]_3[2]
1,21,n12_1[1]_3[2]
1,21,n4_2[2]_3[1]
1,21,n1_2[2]_3[1]
1,21,n6_2[2]_3[1]
1,21,n2_2[2]
1,21,n3_2[2]
1,21,n5_2[2]_3[1]
1,21,n5_2[2]
1,21,n3_2[2]_3[1]
1,21,n5_2[1]_3[2]
1,21,n1_1[2]
1,21,n4_1[2]
1,21,n2_1[2]
1,21,n3_1[2]
1,21,n5_1[2]
1,21,n5_1[1]_2[1]_3[2]
1,21,n1_1[1]_2[2]
1,21,n4_1[1]_2[2]
1,21,n6_1[1]_2[2]
1,21,n12_2[1]_3[2]
1,21,n1_2[1]_3[2]
1,21,n2_1[2]_3[1]
1,21,n4_1[2]_2[1]
1,21,n1_1[2]_2[1]
1,21,n4_1[2]_3[1]
1,21,n1_1[2]_3[1]
1,21,n3_1[2]_2[1]
1,21,n2_1[2]_2[1]
1,21,n3_1[2]_3[1]
1,21,n5_1[2]_2[1]
1,21,n5_1[2]_3[1]
1,21,n1_1[2]_2[1]_3[1]
1,21,n3_1[2]_2[1]_3[1]
1,21,n4_1[2]_2[1]_3[1]
1,21,n2_1[1]_2[2]_3[1]
1,21,n3_1[1]_2[2]_3[1]
1,21,n3_1[1]_2[2]
1,21,n1_1[1]_2[2]_3[1]
1,21,n2_1[1]_2[2]
1,21,n5_1[1]_2[2]
1,21,n6_1[2]_2[1]
1,21,n6_1[2]
1,21,n6_1[1]_2[2]_3[1]
1,21,n6_1[2]_3[1]
1,21,n6_1[2]_2[1]_3[1]
1,21,n1_1[1]_2[1]_3[2]
1,21,n4_1[1]_2[2]_3[1]
1,21,n2_2[2]_3[1]
1,21,n2_1[2]_2[1]_3[1]
1,21,n12_1[1]_2[1]_3[2]
1,21,n1_3[1]
1,21,n4_3[1]
1,21,n6_3[1]
1,21,n5_3[1]
1,21,n2_3[1]
1,21,n3_3[1]
1,21,n2_1[1]_3[1]
1,21,n2_2[1]_3[1]
1,21,n4_2[1]_3[1]
1,21,n1_2[1]_3[1]
1,21,n3_2[1]
1,21,n2_2[1]
1,21,n3_2[1]_3[1]
1,21,n4_2[1]
1,21,n1_2[1]
1,21,n5_2[1]
1,21,n6_2[1]
1,21,n5_1[1]_3[1]
1,21,n4_1[1]_3[1]
1,21,n5_2[1]_3[1]
1,21,n1_1[1]_3[1]
1,21,n6_2[1]_3[1]
1,21,n6_1[1]_3[1]
1,21,n3_1[1]_3[1]
1,21,n1_1[1]_2[1]
1,21,n2
1,21,n4_1[1]_2[1]
1,21,n2_1[1]_2[1]
1,21,n3_1[1]_2[1]
1,21,n1_1[1]_2[1]_3[1]
1,21,n4_1[1]_2[1]_3[1]
1,21,n2_1[1]_2[1]_3[1]
1,21,n3_1[1]_2[1]_3[1]
1,21,n2_1[1]
1,21,n3_1[1]
1,21,n4_1[1]
1,21,n1_1[1]
1,21,n4
1,21,n1
1,21,n5_1[1]_2[1]_3[1]
1,21,n3
1,21,n5_1[1]_2[1]
1,21,n5_1[1]
1,21,n5
1,22,n12_1[2]_2[2]_3[2]
1,22,n5_1[2]_2[2]_3[2]
1,22,n2_1[2]_3[2]
1,22,n3_1[2]_3[2]
1,22,n6_1[2]_3[2]
1,22,n2_2[2]_3[2]
1,22,n3_2[2]_3[2]
1,22,n6_2[2]_3[2]
1,22,n12_1[2]_3[2]
1,22,n1_1[2]_3[2]
1,22,n12_2[2]_3[2]
1,22,n1_2[2]_3[2]
1,22,n4_1[2]_2[2]
1,22,n5_1[2]_2[2]
1,22,n3_1[2]_2[2]
1,22,n1_1[2]_2[2]
1,22,n2_1[2]_2[1]_3[2]
1,22,n3_1[2]_2[1]_3[2]
1,22,n2_1[1]_2[2]_3[2]
1,22,n3_1[1]_2[2]_3[2]
1,22,n6_1[2]_2[2]
1,22,n6_1[1]_2[2]_3[2]
1,22,n6_1[2]_2[1]_3[2]
1,22,n5_2[2]_3[2]
1,22,n5_1[2]_2[2]_3[1]
1,22,n12_1[2]_2[1]_3[2]
1,22,n12_1[1]_2[2]_3[2]
1,22,n5_1[2]_2[1]_3[2]
1,22,n5_1[1]_2[2]_3[2]
1,22,n5_1[2]_3[2]
1,22,n4_1[2]_2[2]_3[1]
1,22,n3_1[2]_2[2]_3[1]
1,22,n2_3[2]
1,22,n3_3[2]
1,22,n6_3[2]
1,22,n2_1[1]_3[2]
1,22,n3_1[1]_3[2]
1,22,n6_1[1]_3[2]
1,22,n12_3[2]
1,22,n1_3[2]
1,22,n5_3[2]
1,22,n1_2[2]
1,22,n4_2[2]
1,22,n2_2[2]
1,22,n3_2[2]
1,22,n5_2[2]
1,22,n5_1[1]_3[2]
1,22,n1_1[1]_3[2]
1,22,n1_2[2]_3[1]
1,22,n4_2[2]_3[1]
1,22,n2_2[2]_3[1]
1,22,n3_2[2]_3[1]
1,22,n5_2[2]_3[1]
1,22,n6_2[2]
1,22,n6_2[2]_3[1]
1,22,n2_2[1]_3[2]
1,22,n6_2[1]_3[2]
1,22,n3_2[1]_3[2]
1,22,n3_1[1]_2[1]_3[2]
1,22,n6_1[2]
1,22,n5_1[2]
1,22,n2_1[1]_2[1]_3[2]
1,22,n3_1[2]
1,22,n2_1[2]
1,22,n6_1[1]_2[1]_3[2]
1,22,n5_1[1]_2[2]
1,22,n4_1[1]_2[2]
1,22,n2_1[1]_2[2]
1,22,n1_1[1]_2[2]
1,22,n3_1[1]_2[2]
1,22,n1_2[1]_3[2]
1,22,n5_2[1]_3[2]
1,22,n12_2[1]_3[2]
1,22,n2_1[2]_3[1]
1,22,n3_1[2]_3[1]
1,22,n5_1[2]_3[1]
1,22,n5_1[2]_2[1]
1,22,n1_1[2]_3[1]
1,22,n6_1[2]_2[1]
1,22,n4_1[2]_3[1]
1,22,n6_1[2]_3[1]
1,22,n2_1[2]_2[1]
1,22,n3_1[2]_2[1]
1,22,n2_1[1]_2[2]_3[1]
1,22,n4_1[2]_2[1]_3[1]
1,22,n3_1[2]_2[1]_3[1]
1,22,n2_1[2]_2[1]_3[1]
1,22,n4_1[2]_2[1]
1,22,n1_1[2]_2[1]
1,22,n4_1[1]_2[2]_3[1]
1,22,n1_1[2]_2[1]_3[1]
1,22,n1_1[1]_2[2]_3[1]
1,22,n1_1[1]_2[1]_3[2]
1,22,n5_1[1]_2[1]_3[2]
1,22,n6_1[1]_2[2]
1,22,n5_1[1]_2[2]_3[1]
1,22,n5_1[2]_2[1]_3[1]
1,22,n1_1[2]
1,22,n4_1[2]
1,22,n3_1[1]_2[2]_3[1]
1,22,n4_3[1]
1,22,n5_3[1]
1,22,n1_3[1]
1,22,n3_3[1]
1,22,n2_3[1]
1,22,n6_3[1]
1,22,n1_2[1]_3[1]
1,22,n4_2[1]
1,22,n2_1[1]_3[1]
1,22,n4_1[1]_3[1]
1,22,n3_1[1]_3[1]
1,22,n1_1[1]_3[1]
1,22,n4_2[1]_3[1]
1,22,n3_2[1]_3[1]
1,22,n2_2[1]_3[1]
1,22,n3_2[1]
1,22,n5_1[1]_3[1]
1,22,n5_2[1]_3[1]
1,22,n5_2[1]
1,22,n6_2[1]
1,22,n6_1[1]_3[1]
1,22,n6_2[1]_3[1]
1,22,n2_2[1]
1,22,n1_2[1]
